comment_text,author,likes,published_at,channel_id,reply_count
"Yes jack black and Jason Momoa. JJ team up. This is going to be bigger than avatar. At least the real ""story"" of how much avatar will really make.  So glad to see my man jblack back in the movies. I love you JB",@DemaYuga-sx3kb,2,2025-01-19 15:56:35+00:00,UCGjnSyvjEE7wFhBO8wXvWHQ,0
Looks definitely much better than what disney makes nowadays!!! Looking forward to seeing this on the big screen!,@DachnikU.,0,2025-01-19 16:22:42+00:00,UC4H4cI5ZcA24sU-OlY7b_4Q,0
0:51 idc abt the rest of the movie i cheerish this dog 🥹,@alaya_nova,0,2025-01-19 22:56:56+00:00,UCjTJTP-OhKRtjgKNEW-0RZA,0
"I.. am Steve.
What is thi-
""The Order of the Stone.""
*eating popcorn intensifies*
(this comment does not mean to attack how the movie looks, just a little joke)",@darkandlight1757,21,2025-01-20 00:53:44+00:00,UCbIJ5YAgoDwiQ7Bg2BVOhSg,0
"the bee looks cute (also the 'As a child, I yearned for the mines' bit is a funny reference to that one meme - if it was intentional)",@abraxanAc0lyte,0,2025-01-20 04:57:45+00:00,UCg28N-YSXp2jQeIxIgYRU4w,0
i prefer to make them fight the ender dragon to go back to the real world instead of fighting the piglin. i mean basic minecraft right?,@Najimi_animation,1,2025-01-20 14:01:57+00:00,UCQgbxy6kiEjOCoVHiE9x-kg,0
Looks decent. At least Kevin Hart or the Rock isn't in it.,@fillpereira,1,2025-01-20 14:13:27+00:00,UCtjoZ93pakjzvOoi8cD_nmQ,0
I love the use of fated to pretend in this trailer,@thesoaringscepter4325,0,2025-01-21 04:21:33+00:00,UCFzSUal0N0ap5aeKNlfL_9Q,0
Imagine with me if they went to the world of vows 💀,@شامان-ل2و,0,2025-01-21 05:38:29+00:00,UCvm23BTmVnAHni5P3158L-g,0
You can making Slendrina Granny saga movie This like wizard DVloper ?,@falenkahunaibrahim5870,0,2025-01-21 12:20:09+00:00,UCl1FKadDuvU6VjpuSSy-NMg,0
It is packed with ten years' worth of World's effort and excitement.❤😭,@kensuofficial,0,2025-01-21 12:30:41+00:00,UC51De3AUrZsxvgLYeh3_VTw,0
0:46 you don't think bees in this movie is so big??,@BenyaminTpz,0,2025-01-21 13:59:18+00:00,UC7AKc-f6H-WfoGizOnyZF0w,0
"1:58 
""Yeah, right.""
""AHHHHHHH!!!!""
""Aaaaand… that was the only one I had. No biggie!""",@imaimingatyou,0,2025-01-21 17:50:14+00:00,UCFgsIklhmboOoaZrOY7mAhw,0
"Y'all, I just found the song that MUST play at the ending credits ""treehouse"" it's so dam nostalgic.",@harrybai8122,0,2025-01-21 18:11:45+00:00,UCQMNSjd6IdStEg6xGDDt4qQ,0
"1:07 what track is playing here? 
is it one of the c418 creations? if yes, i seem to not be able to find it",@mefi1750,0,2025-01-21 20:04:27+00:00,UC_jVcpHmG1qQIdT1wvxSxcg,1
"“You were supposed to be a hero, Brian!”

*Brian starts floating into the air*

“Time to get a little…Creative.” “I’m taking this up a Notch.”",@ckristjon,405,2025-01-21 21:28:04+00:00,UCinVskCnK9mXoj5qONP5CFg,6
"First Warcraft movie, then Minecraft movie. Wonder if Starcraft is next.",@samueloconnor8546,0,2025-01-21 22:57:31+00:00,UCm_e-BLEw5MwMLFS2Vcu_SQ,0
"Ya quiero que al final de la peli, steve diga yo soy el minecraft movie",@davidcastilloo_,0,2025-01-22 00:42:03+00:00,UC6MnDInuuGFRJ4X5EyA8KMw,0
i think the minecraft movie will begin with steve telling us his backstory when he's done telling us he will then say this is the story of. and then the title would appear,@marlenaryan6822,1,2025-01-22 01:04:30+00:00,UCpBd3xwQvNJ5CFuBvG72QHQ,0
"if you compare this trailer to the first one, it's slightly better. If not, it's seems soo bad",@Canelit4,2,2025-01-22 04:23:25+00:00,UCMt-K7KH1wD3LiGZPHaLFMg,1
Nah why can’t they just keep it like real Minecraft bruh 😢😢,@Lyton_Roblox,0,2025-01-22 17:39:51+00:00,UCSrLwi4J3wNwUUAz9xzDTSg,0
"""Anything you can dream about here... you can make!""
Why do i love that so much?",@InfiniteEntInc,56,2025-01-22 19:41:09+00:00,UCTgzMplIJIu1YOf6adrIR8g,1
"OMG, the sounds... Never thought Minecraft can be this good in live action. 😍",@IndiBoxest,1,2025-01-23 00:36:15+00:00,UCu_vcXn9jTrvqCK7b_S2iSA,0
"I hope that ""Hip To Be Square"" by Huey Lewis & The News is somewhere in this movie!!!!",@NaomiAnderson-c4i,1,2025-01-23 01:41:44+00:00,UCfI4QWN1PGM-r-ifBf7mcbg,0
This just went to the top of my watch list🎉😁😍,@RichardPritt-l2q,1,2025-01-23 21:51:23+00:00,UCpCUNS_GBuDZgCH-4YNVvCg,0
"“Anything you can dream about here, you can make!”

-Steve",@Mustep,7,2025-01-24 04:57:02+00:00,UCY3TI5FWz0MDEEygxQUbekQ,0
I can’t believe all they had to say is “yearned for the mines” and public sentiment flipped overnight. I can’t believe people are this easily duped,@farissoliman7282,1,2025-01-24 22:09:04+00:00,UCTEDKJt4ZyRn75fa1Ex3n8g,0
"I will be honest, it might be fun but minecraft deserves better like I don't care if it's humans who enters the video game, but atleast mention in the ancient builders bro",@KaisArmougom,0,2025-01-24 23:48:25+00:00,UC-twiFDiYxbXgZyb5YVC1zA,0
"0:32  if translated, it would be iron gold stone gate head home😅",@valen-i7t,2,2025-01-25 01:14:44+00:00,UC9F2ctRu3FuiIrI3roIfAQA,0
I just wish Technoblade were here to see this 😞,@thedogsdaily123,2,2025-01-25 01:17:05+00:00,UCjHolWvCS3fpxu-y39XSjcA,1
We already had enough with the Pixels and Jumanji fiasco🤧,@astro-u1i7b,0,2025-01-25 02:11:32+00:00,UCw7hoqRYHM_5bRDQ515Xkrw,0
When one puts a pickaxe down another picks theirs up,@crawshark1430,0,2025-01-25 06:55:42+00:00,UC2IS7tcj5nSht-lCpPsJgbg,0
“As a sperm cell I yearned for the mines”-class clown Corbin,@MostSuperRandomAhhGuy,0,2025-01-25 07:09:29+00:00,UCuQKtAIKeHvAaFosLcuhRhg,0
I am not convinced. A animated version would have been better. And it would have been more interesting if Steve doesn't talk.,@theshadow7201,0,2025-01-25 08:27:59+00:00,UCHCYJWTodwTUj5shkpqLZNg,0
I think if they had animated all characters the movie would be great,@ZalaDigvijay-11,2,2025-01-25 13:10:20+00:00,UCDWB7eA8BL-K6qV0TcJo7pQ,0
Its freaking jack black!!!! A legend!!!!! He is the most perfect guy for this role for his natural comedic presence.,@KayneMoreno33,1,2025-01-25 14:47:32+00:00,UCucwzqCCaYbXOAoxQCnfAkQ,0
